id    timestamp            canal     direccion  COALESCE(de,"")     cuerpo                                                                                                                                                                                      
----  -------------------  --------  ---------  ------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2183  2026-05-07 10:19:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2182  2026-05-07 10:19:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2181  2026-05-07 10:18:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2180  2026-05-07 10:18:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2179  2026-05-07 10:17:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2178  2026-05-07 10:17:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2177  2026-05-07 10:16:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2176  2026-05-07 10:16:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2175  2026-05-07 10:15:09  sistema   interno                        meeting-prep: 1 alerta(s) agendada(s) (4 usuarios)                                                                                                                                          
2174  2026-05-07 10:15:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2173  2026-05-07 10:15:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2172  2026-05-07 10:14:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2171  2026-05-07 10:14:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2170  2026-05-07 10:13:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2169  2026-05-07 10:13:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2168  2026-05-07 10:12:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2167  2026-05-07 10:12:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2166  2026-05-07 10:11:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2165  2026-05-07 10:11:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2164  2026-05-07 10:10:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2163  2026-05-07 10:10:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2162  2026-05-07 10:09:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
